,FARM,FOREST,OILGAS,MINE,MINE_SUP,UTIL,CONST,WOOD,NMMIN,PMETAL,FABMETAL,MACH,COMPELEC,ELECEQUIP,MOTVEH,OTRTRANS,FURN,MISCMFG,FOOD,TEXTILE,APPAREL,PAPER,PRINT,PETRO,CHEM,PLASTIC,WHOLE,RETAIL,AIRTRANS,RAILTRANS,WATERTRANS,TRUCK,TRANSIT,PIPE,OTHERTRANS,WAREHOUSE,PUBLISH,MOVIE,BROADCAST,INFODATA,CREDIT,SECURIT,INSURE,FUNDS,REALE,RENTAL,LEGAL,COMPDES,MISCPROF,MGMT,ADMIN,WASTE,EDUC,AMBULAT,HOSPITAL,NURSING,SOCIALAS,PERFORM,AMUSE,ACCOMM,FOODSVC,OTHSVC,FEDGOV,FEDGOVE,SLGOV,SLGOVE
FARM,0.06046754556244205,0.0023554205665406312,0.0007044961085477617,0.0007476400345832602,0.0032181479345415815,0.0015346258290005231,0.0004807849644113692,0.0015347945646304365,0.0017946678553427784,0.0015674391929168707,0.0017816682099657298,0.0018373316065611594,0.0018679661440933408,0.0032586949064548837,0.0016594280582927763,0.002691048657528148,0.0016795433694131825,0.003959568948820329,0.28382243351008984,0.32521929058842086,0.049427938365786184,0.0016419417603257607,0.0017084589079392604,0.0012243341284076516,0.0012899297506054645,0.0022534285579968046,0.0007930306674232435,0.0005052625971821672,0.0011369857901533176,0.001982714660814873,0.0026247354077464733,0.001525955012954538,0.0020287154173977027,0.0027516639473752365,0.003297857184315919,0.0031902452277701686,0.0020583181077493493,0.002772762245138552,0.0024638019640777675,0.0018544274877731377,0.0008226227023500436,0.0009114859060519815,0.0018197026315502833,0.0012276701141875597,0.00047857294636494,0.0033783711502701546,0.0018847071916644085,0.0018290840904743525,0.0023506352150091977,0.0023135820016411757,0.0022558579884639552,0.002871220704993151,0.0012022971639882823,0.0015674479674682245,0.0009689692420321682,0.001849948517703821,0.00206672181380171,0.0024972246753040372,0.0023865483916352824,0.0030922588888488453,0.03511788509616657,0.0033011731204150027,0.0005779260741921792,0.002958097594142556,0.0007320937457461779,0.0035810924827985482
FOREST,0.00025732861389154385,0.00011777102832703154,0.00017612402713694042,0.00018691000864581506,0.0008045369836353954,0.0003836564572501308,0.0001201962411028423,0.338108266249155,0.0004486669638356946,0.0003918597982292177,0.00044541705249143246,0.00045933290164028984,0.0004669915360233352,0.0008146737266137209,0.0004148570145731941,0.000672762164382037,0.0004198858423532956,0.0009898922372050822,0.022407034224480774,0.0003690717214972279,0.0003365566833943968,0.3014269220234394,0.0004271147269848151,0.0003060835321019129,0.0003224824376513661,0.0005633571394992012,0.00019825766685581088,0.0001263156492955418,0.0002842464475383294,0.0004956786652037182,0.0006561838519366183,0.0003814887532386345,0.0005071788543494257,0.0006879159868438091,0.0008244642960789797,0.0007975613069425421,0.0005145795269373373,0.000693190561284638,0.0006159504910194419,0.0004636068719432844,0.0002056556755875109,0.00022787147651299536,0.0004549256578875708,0.00030691752854688993,0.000119643236591235,0.0008445927875675387,0.00047117679791610213,0.00045727102261858813,0.0005876588037522994,0.0005783955004102939,0.0005639644971159888,0.0007178051762482877,0.0003005742909970706,0.0003918619918670561,0.00024224231050804204,0.00046248712942595523,0.0005166804534504275,0.0006243061688260093,0.0005966370979088206,0.0007730647222122113,0.00023911899477426947,0.0008252932801037507,0.0001444815185480448,0.000739524398535639,0.00018302343643654447,0.0008952731206996371
OILGAS,0.0014270041315803796,0.0032654694217949653,0.00019533755737006123,0.0010365009570358836,0.004461523272887193,0.056345182426144204,0.0006665427915703074,0.002127783373692196,0.002488062253997943,0.002173040699271116,0.00247004001836158,0.002547209727277971,0.0025896803361294047,0.004517736120312453,0.0023005707171786217,0.0037307720024822057,0.002328457853050094,0.005489402406319093,0.001410119764462321,0.002046670455575537,0.0018663597897325644,0.0022763283495425327,0.00236854530418852,0.6113545515549733,0.07577750953102282,0.003124071409950116,0.0010994288798367696,0.0007004776915480046,0.0015762757545307363,0.002748763507038801,0.0036388377243757935,0.0021155285406869737,0.002812537283210452,0.0038148068361338514,0.00457202927825616,0.004422839974863188,0.0028535773766525073,0.0038440567489420843,0.003415725450198724,0.00257091083532185,0.0011404542009852878,0.0012636509152084289,0.0025227695573765297,0.0017019972037600264,0.0006634761301877577,0.004683650912874533,0.002612889515716567,0.002535775670884898,0.0032588351844445697,0.0032074659568207217,0.003127439484006847,0.00398055597737687,0.0016668210682564827,0.0021730528639900388,0.0013433437219082332,0.0025647013540893884,0.0028652279691341893,0.0034620614816715067,0.0033086239065852783,0.004286995277722263,0.0013260235164754943,0.0045766263714844355,0.0008012156937664302,0.004100998937333998,0.0010149481475117466,0.004964696396607078
MINE,0.0006409821836934821,0.0014667846255275747,0.0004387089403229244,9.311516794355153e-05,0.0020040284865099852,0.03380710945568652,0.014121965636483035,0.0009557584334289537,0.263571447300569,0.3222797475109169,0.0011094933852968407,0.0011441565004494494,0.001163233462458126,0.002029278191746905,0.0010333711090277744,0.0016757893912788925,0.0010458974618618455,0.0024657315726744774,0.0006333980581355342,0.0009193241062749134,0.0008383321022733157,0.0010224819143846786,0.0010639039563076305,0.0007624262526902194,0.09472188691377854,0.0014032714202071013,0.0004938418247135653,0.00031464079915434967,0.0007080320602318389,0.0012346904933256252,0.0016344943220966677,0.0009502538035216898,0.0012633364190158423,0.0017135361854109428,0.002053665610233095,0.001986652710020514,0.0012817708216439133,0.0017266746708362805,0.0015342766776302464,0.001154802571931454,0.0005122695919179817,0.0005676071324050975,0.0011331784569199495,0.0007645036620167986,0.0002980204256908945,0.002103803852668233,0.0011736585693546545,0.001139020547249938,0.001463804656619364,0.0014407306101129143,0.0014047842928161904,0.0017879874390184624,0.0007487032339381577,0.0009760925979233942,0.0006034035734473048,0.0011520133951155613,0.0012870040385947012,0.0015550899114393322,0.001486168771154699,0.0019256339444195085,0.0005956236778922713,0.0020557305340766154,0.00035989032801967525,0.0018420880472615009,0.00045589474166921084,0.0022300439551972777
MINE_SUP,0.000477227611217045,0.0010920586263052016,0.2845283658397273,0.13725141771241556,0.0002984100812029467,0.0007115083389002426,0.00022290939259072572,0.0007115865708741115,0.0008320732783861972,0.0007267218076250947,0.00082604617007502,0.0008518537448601739,0.0008660570304432761,0.0015108494566290825,0.0007693711906630144,0.0012476680139448689,0.0007786973803642936,0.0018358001489985163,0.0004715810359841204,0.00068446028350395,0.0006241596673859722,0.0007612639070601254,0.0007921036754991117,0.0005676458231708202,0.0005980583389170789,0.001044771422343973,0.0003676778548962311,0.0002342581132390048,0.0005271479572529019,0.0009192586154687137,0.0012169227799551832,0.0007074882332789223,0.0009405862389752985,0.0012757714665103366,0.0015290065127282896,0.0014791136965116235,0.0009543111226837893,0.001285553404564238,0.001142308183345147,0.0008597800170584548,0.00038139779836229295,0.00042259801098773687,0.0008436803109914951,0.0005691925074869595,0.00022188382058738125,0.0015663357151252538,0.0008738187888625895,0.0008480298964926545,0.0010898399633224463,0.0010726607462154545,0.0010458977946514701,0.0013312023268604613,0.00055742868512184,0.0007267258758261768,0.000449249375851278,0.0008577034036626807,0.0009582073863989748,0.0011578041676409627,0.0011064906179399947,0.0014336836666481011,0.0004434570448540997,0.0015305439012833198,0.00026794754348910126,0.0013714816118297307,0.0003394252821186825,0.001660324696570236
UTIL,0.04535065917183154,0.005620889988335596,0.0016811838953980677,0.0017841409916191438,0.007679671207428774,0.0007324350547502497,0.010591474227362275,0.0036625779383226325,0.004282730109340721,0.11509990982532749,0.05233245442181157,0.05396744018908278,0.041150445078856256,0.007776431026767337,0.03655644583870882,0.006421820660010354,0.004008001222463276,0.009448971355139422,0.052283079857121814,0.0035229573415644483,0.0032125865233101508,0.003918270109868293,0.00407700421212778,0.04495254055551275,0.09472188691377854,0.00537749996794692,0.01747010513484886,0.014840940468141658,0.0027132615446840533,0.004731478167853674,0.006263573132122267,0.0036414835536415116,0.004841252700608155,0.006566470783509087,0.00786988646257208,0.007613085202633355,0.0049118954844018575,0.006616818994080636,0.005879527414276491,0.004425338323094988,0.0019630769033353312,0.00217513682126041,0.004342472188926813,0.002929667317947586,0.0011420490765526976,0.008062022063144688,0.004497596707380975,0.00436485976135925,0.005609470399453767,0.005521047958461897,0.0053832974724708025,0.006851776682370021,0.002869118232244765,0.034530166246976135,0.03557658660234018,0.004414649871793209,0.004931949782935899,0.005959286156975542,0.005695172298220561,0.0073792541665711085,0.049165039134633194,0.00787779949189944,0.02121908120130603,0.007059096531476554,0.026879487414839785,0.008545788879405625
CONST,0.0067139374715339175,0.015363765968117294,0.0045952359807547175,0.004876652043758993,0.02099110130030531,0.010009945748253413,0.017652457045603795,0.010011046364748527,0.011706128965531304,0.010223978371980498,0.011621335824094647,0.011984412979160287,0.012184233712608837,0.021255578139830717,0.010823996652955152,0.017552976470694967,0.010955203341399622,0.025827188370714422,0.006634497908207968,0.009629416733609491,0.00878106983038108,0.010709938300306669,0.011143811513149264,0.007985997610295363,0.008413859964176552,0.01469849991238825,0.0051727227625107015,0.003295690122529136,0.007416248222136413,0.012932706992133372,0.01712043322780086,0.009953388379953463,0.013232757381662288,0.017948353474924836,0.02151102299769702,0.020809099553864504,0.013425847657365075,0.018085971917153738,0.016070708265689074,0.012095924749792967,0.005365743535783239,0.005945373978111787,0.011869423983066622,0.008007757335723401,0.042170977901048755,0.022036193639262146,0.012293431000174666,0.011930616681048618,0.01533255242517363,0.015090864419795852,0.014714346424753525,0.01872818959847805,0.007842256501469023,0.010224035605985919,0.006320322101437096,0.012066709649568104,0.01348066274002479,0.01628871549573315,0.015566804281802864,0.020169961388627693,0.006238831954565029,0.021532651944525128,0.025462897441567236,0.01929486385270258,0.043007179863743646,0.02335848960370871
WOOD,0.0007111627147548121,0.001627381482337163,0.0004867427659057263,0.0005165512966211615,0.0022234476638650926,0.0010602869364003615,0.0423658969094491,0.056351377708192506,0.0012399523364186467,0.0010829579878334744,0.0012309707632490495,0.0012694291099877098,0.00129059479046449,0.002251461935368829,0.0011465139311841,0.0018592699815649023,0.36999576999368133,0.002735702182821318,0.0007027482104861401,0.0010199800303196118,0.0009301202886536058,0.0964566150475006,0.0011803897909398525,0.0008459035796271048,0.0008912241913274116,0.0015569142764341561,0.0005479120974924228,0.0003490905216894973,0.0007855538186513833,0.0013698755838357302,0.001813453554443018,0.0010542961907685899,0.0014016579247475036,0.001901149636368345,0.0022785195091637256,0.0022041694300957526,0.0014221106926268232,0.001915726642095727,0.001702263175181003,0.0012812408097341679,0.0005683575034418481,0.0006297538987268235,0.0012572490908892868,0.0008482084425295867,0.0003306503993066858,0.0023341473401866522,0.0013021613324226823,0.0012637308261459162,0.0016240752394609,0.0015984748374975395,0.0015585927920296419,0.0019837524870861766,0.0008306780405737224,0.0010829640502507732,0.0006694696581313161,0.001278146248595367,0.0014279168895357268,0.0017253552302100622,0.0016488879796752861,0.002136469777750111,0.0006608379491943446,0.0022808105195594565,0.0003992943785327783,0.0020437765195894025,0.0005058102243337229,0.002474209351751724
NMMIN,0.00042576188843873624,0.0009742875979781699,0.0002914052085356651,0.00030925110521398496,0.0013311430092876543,0.0006347770474502164,0.07060982818241518,0.0006348468426425897,0.013178572365028448,0.000648349847979251,0.0007369627595767337,0.0007599871645321157,0.0007726587232386093,0.0013479147113063385,0.0006863997877483756,0.0011131155810684614,0.0006947202118936346,0.0016378217015574998,0.000420724257593676,0.0006106459392045045,0.0005568483307070929,0.0006791668190438376,0.0007066807301021487,0.0005064291167504376,0.0005335618513868057,0.000932099994444133,0.0003280263215250689,0.00020899498337989647,0.000470298667745236,0.0008201228824279702,0.0010856860095678595,0.0006311904826311953,0.0008391504681054135,0.001138188269141575,0.0013641136535124938,0.001319601435123115,0.0008513952172963219,0.0011469152923073102,0.0010191180851412585,0.000767058642669798,0.0003402666632447908,0.00037702371568513777,0.0007526951794139808,0.0005078090017775816,0.0001979551732691343,0.001397417157611746,0.0007795834292793691,0.0007565756919689368,0.0009723082025719864,0.0009569816461333956,0.0009331048952282724,0.0011876412916108033,0.0004973138269224259,0.0006483534774527655,0.00040080091374966955,0.0007652059777774895,0.0008548712957088892,0.0010329429338757608,0.0009871631983582306,0.0012790707222056588,0.0003956332458992458,0.0013654852452625692,0.0002390512397794923,0.0012235767321226029,0.0003028205948313736,0.0014812700724303085
PMETAL,0.0010854588804152393,0.0024838980519883017,0.0007429231690140031,0.0007884204001059836,0.0033936832764256673,0.0016183326924005517,0.02118294845472455,0.0016185106317920964,0.001892558829270566,0.00033058717523337634,0.32707784013632224,0.1619023205672483,0.001969855206498432,0.11964594594040602,0.12185481946236272,0.15808687659042628,0.001771154825926629,0.004175545436937801,0.0010726156896893717,0.0015568116252246704,0.001419657282681819,0.0017315022199798932,0.001801647575645038,0.0012911159899571597,0.0013602895551839442,0.0023763428429784484,0.0008362868856463295,0.0005328223752102854,0.0011990031968889532,0.0020908627332229565,0.0027679027936235536,0.0016091889227520583,0.0021393726219830315,0.002901754708141158,0.0034777403034604235,0.003364258603830359,0.0021705900045356774,0.0029240038221461095,0.002598191162118373,0.001955578078015309,0.000867493031569137,0.0009612033191093623,0.0019189591387257536,0.0012946339385977903,0.000504676925257573,0.00356264594028489,0.0019875094021188306,0.0019288523135911353,0.0024788516812824265,0.002439777383548876,0.0023789047878347166,0.0030278327434473226,0.0012678770092967341,0.0016529451293301274,0.0010218221097793774,0.0019508548004876654,0.0021794520945545306,0.0026334369303206207,0.002516723758451752,0.003260927555513328,0.0010086473961387365,0.0034812371088012756,0.0006094493146026616,0.0031194483720048778,0.0007720261318777876,0.0037764248000421046
