,FARM,FOREST,OILGAS,MINE,MINE_SUP,UTIL,CONST,WOOD,NMMIN,PMETAL,FABMETAL,MACH,COMPELEC,ELECEQUIP,MOTVEH,OTRTRANS,FURN,MISCMFG,FOOD,TEXTILE,APPAREL,PAPER,PRINT,PETRO,CHEM,PLASTIC,WHOLE,RETAIL,AIRTRANS,RAILTRANS,WATERTRANS,TRUCK,TRANSIT,PIPE,OTHERTRANS,WAREHOUSE,PUBLISH,MOVIE,BROADCAST,INFODATA,CREDIT,SECURIT,INSURE,FUNDS,REALE,RENTAL,LEGAL,COMPDES,MISCPROF,MGMT,ADMIN,WASTE,EDUC,AMBULAT,HOSPITAL,NURSING,SOCIALAS,PERFORM,AMUSE,ACCOMM,FOODSVC,OTHSVC,FEDGOV,FEDGOVE,SLGOV,SLGOVE
FARM,1.0707443976861288,0.010552581614118164,0.007579400890443221,0.0071983878385188296,0.0155790908650956,0.009781396662622547,0.005901805965678412,0.011054386558916466,0.010058460339599038,0.010899549875962498,0.011972598682647138,0.012378582327263417,0.010700134017705266,0.015841524494501314,0.013847427536176349,0.015313412674647607,0.011596718950739538,0.01769752681704048,0.3097224324706846,0.3959441893396078,0.19422903011476444,0.011576874749995183,0.011265136085920389,0.010964750201124862,0.010030614059914409,0.013310430529170726,0.006343776262302196,0.016598901238060952,0.009459261697780842,0.010719865450807942,0.013771505355668547,0.010327676827290218,0.010644296461313704,0.013549342271282825,0.01569364730415044,0.014281706777433513,0.010930121562756566,0.012416158829631261,0.012075996654296687,0.009418865207687687,0.005932131194283394,0.00568107787862415,0.009897024925710655,0.005886432437177717,0.0025478887624007947,0.01507561577960658,0.00854230433446987,0.009007185583974725,0.01054574298423589,0.011075396466300754,0.010145406770764231,0.01285512982278097,0.005815322927652434,0.008235224587187973,0.012003784696389023,0.02325540204092296,0.009250189052950556,0.01777667577794539,0.01513052929734176,0.024353266360371544,0.10532489056464674,0.014702568619889922,0.007880766975242402,0.013240805618038733,0.004877331324395732,0.01598428032318883
FOREST,0.0030765090954738405,1.0037993817833928,0.0030671065307205122,0.0029133579916160186,0.006304288720316555,0.003958187931086901,0.017654854008275402,0.3617955468275042,0.004070406477248106,0.0044107901526427105,0.004844919416291048,0.005009188617494238,0.0043299551133873905,0.00641050227120492,0.005774744532732224,0.006196806368858769,0.13638771815113143,0.007161542255865358,0.035856097248704685,0.0041175367277701685,0.0040107671482388155,0.33924662804641825,0.10894184518665724,0.0044370342523040755,0.004059070061050439,0.0053862599367355156,0.0026197088973685407,0.003429046156742977,0.0038640172789494087,0.0043379378375576795,0.005572824978842988,0.004179233483478135,0.004307357813821173,0.005482923654878214,0.00635064551101001,0.005779284734519342,0.04429930676391037,0.005024365666072751,0.00488671466786656,0.003811470694342531,0.00348655591970164,0.003419171286112158,0.005728186683956512,0.0024582567619675032,0.0016375538363679527,0.006100550690217727,0.003483842879211364,0.006719036546433887,0.00429066979892704,0.004550437436173169,0.004127787913494473,0.005202001182551465,0.0024806049551060307,0.0033549280360698572,0.0034970199253924793,0.005328415343974769,0.003743213414072205,0.005125372681688853,0.00472609301568934,0.006550851294822931,0.00957995183491281,0.0059495921396043715,0.003365009833632785,0.005358070080389971,0.003450531349022657,0.006468254019193905
OILGAS,0.05154294521574716,0.01775453773241217,1.0309068748657282,0.042397822479291566,0.09289023880168029,0.0841954751602151,0.022893095561063642,0.01859881595290115,0.024972136091907494,0.04033008972294949,0.030527958427589066,0.03044668163380679,0.02087936304229887,0.029203700349564952,0.033044682142205406,0.030555500826849567,0.01951128090851446,0.029775785597634434,0.04411570733680769,0.031180944855319446,0.02339410187044954,0.019477893380820406,0.018953398420595405,0.6423798367094486,0.11748541385973141,0.05481298670592365,0.022712987174405393,0.011443912056966654,0.16182648582158374,0.12268227893143561,0.13769094361415657,0.17049290610450227,0.10642432951339205,0.09243907615239215,0.07962222925051879,0.024028726915880805,0.018389742226317778,0.020889974462493858,0.02061174966233923,0.016147612525597727,0.012560693790692343,0.009630250151839305,0.02413032913174441,0.009908716804786612,0.004821573693096342,0.02536446520728857,0.014396162390891993,0.015154435394232394,0.017763482286893163,0.01863961879341871,0.017089147131235008,0.021628535636082316,0.009971330479386295,0.024593468854310498,0.019567637146164416,0.022634043136371955,0.015563284566577686,0.020258826054201852,0.01894000987483379,0.025557509062885758,0.023038556105536664,0.024736819753753542,0.010392308937235507,0.0222774285525058,0.010466145006070647,0.026893277730619565
MINE,0.01840426429301118,0.009030578034817572,0.006529019231275608,1.0100727501776035,0.013482822052407887,0.041283042713795834,0.05243996453474228,0.009460007427355565,0.27540642756901335,0.33513329996926633,0.11752834305076285,0.07725706694353449,0.01371348224533926,0.05134364717466687,0.0704432680743193,0.07786566444639219,0.009924118975056375,0.01514500458643608,0.02085518592474563,0.013024973900621906,0.010544636989025262,0.009907136912285999,0.00964036045555328,0.010793540834250397,0.11781571143532435,0.046587509379090876,0.007955241453893407,0.004536225678485125,0.012652425004485613,0.009410261147709287,0.012044080114003352,0.009184193427660962,0.009309131865130157,0.011752524058836701,0.013550431317150639,0.0122218498032222,0.009353665227327763,0.010625370672676297,0.010800127160293988,0.008536437824504856,0.0052717638039314054,0.0049776885478017945,0.008710052114298874,0.005045323103001242,0.004025210044905682,0.012901252953923836,0.0073926253585988345,0.007708075167250429,0.009095270684971677,0.009488856582362272,0.008749997124638928,0.011001028682594581,0.005227255818791807,0.017509475223504788,0.012798575184953018,0.014430377905696158,0.007916030136902745,0.010258644908174405,0.009602687707082298,0.012926431693359365,0.010988092779084213,0.012582010553374073,0.00878527283610367,0.01133107828491709,0.006916655301994729,0.013678860402826487
MINE_SUP,0.018222692520386392,0.007777137586199099,0.29460812911120504,0.15117897007919834,1.0292376166101778,0.030937709879917147,0.014509495127555035,0.008146962358926771,0.04618024570944996,0.058826695438862577,0.02644136745101591,0.020969340755886256,0.009325515051492293,0.017566100539086523,0.02098421456996201,0.02150129857444257,0.008546655418207882,0.013042884293586552,0.016824111226625048,0.012078149331333932,0.009492442818798729,0.0085320304586368,0.008302282462354637,0.18538484281426376,0.05088816786787582,0.0238248998514119,0.008438384091126757,0.004438237816214957,0.04901341459803243,0.03763796664096098,0.04269300064669196,0.05112287934151411,0.03299835014183068,0.029776175685477205,0.026689093123756925,0.01052546216986869,0.008055380411719557,0.009150573673929593,0.009047061738881495,0.007092008347046664,0.005130973548229365,0.004223173186741189,0.009449823926595366,0.004340705422955079,0.0022818360028021155,0.011110564447832736,0.00631362925162633,0.00663819756269702,0.007787549135253189,0.008165480943395082,0.00749191914145455,0.009474090509422089,0.004373232645084086,0.01054793958276878,0.008271894280910243,0.009763029692911287,0.006817288469667141,0.00881216336970004,0.008254586130613646,0.011096166517950272,0.009102121273556744,0.010835632758759055,0.004846378559079759,0.009758329365189227,0.004611156375333756,0.01178024030854206
UTIL,0.07079844868517472,0.01823150187271694,0.014392782990081291,0.01883680211982712,0.031486424851922754,1.0150601777172836,0.029161019857738314,0.01909846107998703,0.019078748793689176,0.13221744704462474,0.10535176902942192,0.09944051514316686,0.058762252223083844,0.04051967598124815,0.08574778419487025,0.055314124075637384,0.020035438814793555,0.0305756927646652,0.09148774339382379,0.03850316772149378,0.027120849102350443,0.02000115435282368,0.019462569175688046,0.06171310680337291,0.12119052049742171,0.05646238144943695,0.029600666880551095,0.024549661206032764,0.02820850126648711,0.025693847414402775,0.03164297915547743,0.028338842463857407,0.024457547838910243,0.028182832796755052,0.030761629551101243,0.024674243079060222,0.018883770723347543,0.021451170076857977,0.024981161316134665,0.020480666432672674,0.011447356212298278,0.01080843734110036,0.01776686423815149,0.010237478379508695,0.005153574379739305,0.026045865113285518,0.014791947536772421,0.015561549471689829,0.018248429213512184,0.019196065927005762,0.01755568456156463,0.02220957221733233,0.012147866095753489,0.053713516535767156,0.05424766528705977,0.026644083696162175,0.015981382111864076,0.02417226013570414,0.02172407809822462,0.03162651045593922,0.07748313679018846,0.025401358371742122,0.031555036540916265,0.02287589722107323,0.0351216705439676,0.0276157481934436
CONST,0.017747228747000132,0.024778459450162924,0.017797151178292604,0.016930697140708443,0.036581182696722704,0.02296856883643398,1.0286146148301383,0.025956744909707796,0.023625710864390116,0.02560232624955655,0.028115807573251005,0.029067954501757153,0.0251250544505013,0.03719845894803147,0.03251692481113858,0.0359591602088238,0.0272301926470197,0.04155546639104138,0.023924828194670244,0.023854450322275858,0.023254708310845924,0.02718359658726432,0.0264516047269511,0.025746309882269086,0.023555898809338817,0.03125513822381432,0.015443532067237944,0.010340189205010751,0.022211472010146126,0.025171264361054886,0.03233680403847919,0.024250371466485832,0.02499382020392567,0.03181514125974912,0.03685017119304709,0.03353479794842843,0.02566495894860201,0.02915431496641495,0.028355595100840597,0.022116399500504178,0.014027300654267605,0.013420704574889393,0.023244064128450984,0.013827411773544407,0.04543707710042257,0.03539897135516581,0.021820009926750508,0.021149723443409773,0.026271129582374205,0.02609426993626351,0.02527382815407727,0.030185060366100445,0.017453490438166432,0.020796413183483537,0.017250825637101553,0.022575226300232953,0.021720318566238354,0.027464670824468997,0.02588672350691712,0.03437628844867365,0.01923156670620738,0.03452302134993948,0.03346690331508998,0.03109066360170284,0.05011410672217899,0.037532601624068955
WOOD,0.003344184552962209,0.004664105478025461,0.003349997855674453,0.0031828527357541294,0.006885758167644448,0.004323292874934793,0.047766574204109936,1.0634128852113442,0.004446044497256038,0.004817869195013599,0.005291869190626876,0.005471257853492959,0.004729327453463564,0.0070017976143263395,0.0061720331422565515,0.0067684127717257,0.3952570921901024,0.007822079448732016,0.00741603930953183,0.004491477462766494,0.004377907634319578,0.10590540021886105,0.03642506328178018,0.004846280464219691,0.004433539383150287,0.005883083359791928,0.0028416108920907147,0.0020716184012088755,0.004191786747431624,0.004738043080673826,0.006086828734533144,0.00456470088576978,0.004704642512660767,0.005988635378830365,0.006936390603594359,0.00631233088281094,0.01684391911949372,0.005487782661243756,0.005337435934334646,0.004163017990531548,0.002953021727728375,0.002851681133993986,0.004893684278840468,0.0026249133140910383,0.0028858068189328975,0.006663228460436407,0.0038541685283178207,0.0049071668623188935,0.004728372414321362,0.004919382814421695,0.004548874515400171,0.005681802199657435,0.002760489884936735,0.003704949690922052,0.0031643686337668544,0.00437293897476983,0.004088464701084727,0.005191664160014164,0.004887524121192748,0.006505755821618794,0.0039703039176051756,0.006498346409311732,0.00338928970046675,0.0058522659454196,0.00414589990844623,0.007064846512813221
NMMIN,0.0022375813082288927,0.00312554609274333,0.002244926275798172,0.002134085490946223,0.004614337187604239,0.002897196426750757,0.07409778678163571,0.0032741746029872365,1.0155725677246665,0.003228966416608592,0.0035463527207076997,0.003666518774695861,0.003169258443210975,0.004692142212096988,0.004101571606575362,0.004535775951820171,0.003434806849220036,0.005241791801943205,0.0030168377984631386,0.003008611693787618,0.002933159000052372,0.003428929238757669,0.0033365960449397263,0.0032476282305681156,0.0029711644423451675,0.003942457832813674,0.0019180021920853613,0.0012522769936043005,0.002801734532644388,0.0031750940005830343,0.004078952601406416,0.003058932728473857,0.0031527113136651697,0.004013150399665406,0.004648267348064986,0.004230067527380456,0.0032373688252718847,0.0036775149566163805,0.003576763998157941,0.0027897540607887445,0.0017640189678635512,0.001688440905519644,0.0029317285296545396,0.001743882541587654,0.0035676584234068678,0.004465213700181994,0.0026557437313587643,0.0026678186189947667,0.0032310892991517606,0.0032866853464386353,0.0031084310798736334,0.00380753281600267,0.0019932562910985586,0.0025432197483565414,0.0021048103714366158,0.0028440097365293377,0.0027397932855507015,0.003458366012435977,0.0032612782144048726,0.004326599126680138,0.0023297231695962647,0.004354721676988211,0.0030147859642676886,0.003921765287166011,0.004201091740781337,0.004734349066072765
PMETAL,0.013470967269660216,0.010516463200193142,0.007553721134898948,0.013327038347086378,0.015526691924361237,0.00994964812547965,0.04647932739048093,0.011016550612792345,0.011659324328886379,1.011538605250424,0.3365988118523305,0.20602196685531074,0.020702870459633392,0.1318457372720361,0.17947077344082968,0.21352083247285727,0.011557026758766856,0.017636953336313082,0.017426936074494477,0.012279196109782748,0.010899349463732735,0.011537250478942964,0.011226578805536154,0.0109358648571293,0.010665797535331725,0.013480605090856237,0.011874697590007447,0.004567756134407589,0.02237360660496799,0.010684624217783429,0.013725956044550364,0.010294449440170987,0.010609090406592102,0.013503931629452135,0.015640669788077023,0.014232824654005724,0.010892710939528,0.012373661933576224,0.013061058941980765,0.010435501417590918,0.006385727898312249,0.005912106272762198,0.010541512529327071,0.0058833295666203414,0.004123241391048765,0.015024016336852788,0.008583804740431139,0.008976356610637415,0.0105702226142879,0.011055892215042546,0.010168957108075395,0.012811130456845917,0.005967545772696671,0.008329324100064633,0.0073448229855952495,0.009922953678698875,0.009218528349502195,0.011733608741123313,0.011038874981952364,0.01471308373271944,0.00939342827493101,0.014652246008931497,0.014317030264316024,0.013195486196166336,0.0066639212951217905,0.015929570786307915
