sector,label,gross_output_bn,value_added_bn,final_demand_bn,va_share,domar_weight,final_demand_share,leontief_row_mult,domar_leontief_mult
FARM,Farms,220.0,122.0,0.0,0.006548577563070317,0.011808910359634998,0.0,2.7769943383559443,0.03279327721085925
FOREST,"Forestry, fishing, and related activities",55.0,36.0,0.0,0.001932367149758454,0.0029522275899087494,0.0,2.31734784185117,0.006841338234128521
OILGAS,Oil and gas extraction,305.0,187.0,0.0,0.010037573805689749,0.01637144390767579,0.0,4.073608277736093,0.06669084942080024
MINE,"Mining, except oil and gas",137.0,83.0,0.0,0.004455179817498658,0.0073537305421363395,0.0,2.8348823849911184,0.020846961177873498
MINE_SUP,Support activities for mining,102.0,43.0,0.0,0.0023081052066559315,0.005475040257648953,0.0,2.641286048742981,0.014461147448834354
UTIL,Utilities,525.0,274.0,0.0,0.014707461084272679,0.02818035426731079,0.0,3.311291114607759,0.09331335669184507
CONST,Construction,1435.0,837.0,910.4741480142335,0.04492753623188406,0.07702630166398282,0.04603555333547545,2.754469442982221,0.2121665942393713
WOOD,Wood products,152.0,58.0,0.0,0.0031132581857219537,0.008158883521202361,0.0,1.9558641808279045,0.015957668034666746
NMMIN,Nonmetallic mineral products,91.0,42.0,0.0,0.0022544283413848632,0.004884594739667203,0.0,1.2980573760797753,0.006340484230985483
PMETAL,Primary metals,232.0,68.0,0.0,0.0036500268384326356,0.012453032742887815,0.0,2.8035721510992087,0.03491297579468687
FABMETAL,Fabricated metal products,362.0,133.0,77.79367954046126,0.0071390230810520665,0.01943102522812668,0.003933417649977913,2.0298782229668704,0.039442614960494206
MACH,Machinery,363.0,133.0,220.89255557830043,0.0071390230810520665,0.019484702093397744,0.011168808083033405,1.6466585838845467,0.03208465195652659
COMPELEC,Computer and electronic products,513.0,279.0,123.29698065550531,0.01497584541062802,0.02753623188405797,0.006234163530561733,2.28209834321103,0.06284038916088343
ELECEQUIP,"Electrical equipment, appliances, and components",167.0,68.0,34.78513514040361,0.0036500268384326356,0.008964036500268384,0.0017588120953575255,1.4819308240631923,0.013284081997775261
MOTVEH,"Motor vehicles, bodies, trailers, and parts",623.0,133.0,442.96379694669474,0.0071390230810520665,0.03344068706387547,0.02239721308342463,1.6918462050580965,0.0565764995035531
OTRTRANS,Other transportation equipment,292.0,93.0,162.9574416464119,0.00499194847020934,0.015673644659151907,0.008239482705453759,1.462932848972281,0.022929489634992275
FURN,Furniture and related products,122.0,47.0,97.15170328893475,0.002522812667740204,0.006548577563070317,0.004912201437179218,1.1171049043469623,0.0073154481122023295
MISCMFG,Miscellaneous manufacturing,197.0,83.0,157.28811383395959,0.004455179817498658,0.01057434245840043,0.007952829159654937,1.1870725635163544,0.012552511809593226
FOOD,"Food, beverage, and tobacco products",1025.0,257.0,521.1637357235983,0.01379495437466452,0.055018786902844875,0.02635117208406918,2.640289856480867,0.14526554497546368
