sector,label,delta_y_pct_real,delta_p_pct_real,total_contribution_gdp_pct_real,supply_contribution_gdp_pct_real,demand_contribution_gdp_pct_real,delta_y_pct_emb,delta_p_pct_emb,total_contribution_gdp_pct_emb,supply_contribution_gdp_pct_emb,demand_contribution_gdp_pct_emb,total_diff
REALE,Real estate,-5.2973708206686805,1.0189208543786876,-0.6337336000636686,-0.5338772384780336,-0.09985636158563503,-4.0,-1.5,-0.47852689307007823,-0.3640700735942645,-0.11445681947581372,-0.1552067069935904
BROADCAST,Broadcasting and telecommunications,-3.29872514501539,-3.9715206337469637,-0.07545331548482853,-0.03330661550034899,-0.04214669998447954,2.5,1.0,0.05718369382702579,0.007713793736136518,0.049469900090889266,-0.13263700931185432
RENTAL,Rental and leasing services,-19.8037116033497,-2.0,-0.22565486972918763,-0.1905940489311312,-0.035060820798056475,-10.0,-2.0,-0.11394574625648418,-0.09010051677496136,-0.02384522948152282,-0.11170912347270345
COMPDES,Computer systems design and related services,-3.0317696941570897,1.0,-0.0447430353661438,-0.03195214866190441,-0.012790886704239392,3.0,1.0,0.044274176352221424,0.007642818911436671,0.03663135744078476,-0.08901721171836523
MOVIE,Motion picture and sound recording industries,-53.834260361066896,-5.0,-0.3434272047168549,-0.21741856491629122,-0.12600863980056373,-40.0,-5.0,-0.25517371459251814,-0.15560308505535364,-0.0995706295371645,-0.08825349012433675
PUBLISH,Publishing industries (including software),-3.36660584594468,1.0,-0.03830933850808604,-0.0181379521040027,-0.02017138640408334,3.0,1.0,0.03413765102995268,0.0026000920689174174,0.03153755896103526,-0.07244698953803871
SOCIALAS,Social assistance,-15.5001490850019,-13.847939597655099,-0.10008216393347243,-0.013662857823841662,-0.08641930610963078,-5.0,0.0,-0.03228425848829833,-0.007614312987023604,-0.024669945501274722,-0.0677979054451741
FOOD,"Food, beverage, and tobacco products",-7.62169264226169,8.072316132061347,-0.10882280398439584,-0.0964754192295268,-0.012347384754869038,-4.0,2.5,-0.057112145079680536,-0.04330476977573387,-0.013807375303946665,-0.0517106589047153
ADMIN,Administrative and support services,-16.2903722237115,-2.0,-0.46353442241238935,-0.4152945180058651,-0.04823990440652421,-15.0,-2.0,-0.42681752391546685,-0.379954319638037,-0.04686320427742979,-0.0367168984969225
INFODATA,Information and data processing services,-1.06299305033808,-0.8937663762405408,-0.0063091854519049095,-0.003303654544478837,-0.0030055309074260724,5.0,1.5,0.02967651317145631,0.0032299083205132636,0.026446604850943044,-0.03598569862336122
