sector,label,delta_p_pct,delta_y_pct,supply_shock,demand_shock,va_share,domar_weight,leontief_multiplier,supply_contribution_gdp_pct,demand_contribution_gdp_pct,total_contribution_gdp_pct,bf_supply_contrib_pp,bf_demand_contrib_pp,bf_total_contrib_pp
FOODSVC,Food services and drinking places,-12.0,-42.0,-0.04799999999999999,-0.47,0.024745034889962426,0.050617283950617285,2.1475370121686956,-0.24448060230882435,-0.7948108630695977,-1.039291465378422,-0.5217719555491348,-1.6962900712738915,-2.2180620268230262
RETAIL,Retail trade,-2.0,-18.0,-0.039999999999999994,-0.19999999999999998,0.053837895866881376,0.07418142780461622,2.3472812358180644,-0.3740999269870344,-0.5949821986168302,-0.9690821256038648,-0.6964986941278721,-1.1077369827455619,-1.8042356768734342
AMBULAT,Ambulatory health care services,2.5,-25.0,-0.275,-0.6,0.038486312399355876,0.0618894256575416,2.2074471091333216,-0.5610614180830938,-0.40109639190080304,-0.9621578099838969,-3.7569849282257013,-2.6858255630649164,-6.442810491290619
WHOLE,Wholesale trade,-2.5,-10.0,-0.008333333333333331,-0.15,0.057058507783145467,0.09033816425120773,2.934838228616692,-0.11271927033246168,-0.457865807498993,-0.5705850778314546,-0.22093991495624848,-0.8974581921248344,-1.118398107081083
CONST,Construction,-1.5,-12.0,-0.045,-0.16499999999999998,0.04492753623188406,0.07702630166398282,2.754469442982221,-0.3002529933356623,-0.23887744144694645,-0.5391304347826087,-0.9547496740771707,-0.7595866300353449,-1.7143363041125155
HOSPITAL,Hospitals,3.0,-15.0,-0.21749999999999997,-0.47,0.03569511540526033,0.06242619431025228,2.1750338231416158,-0.31080485463284196,-0.22462187644606296,-0.5354267310789049,-2.9531950786271044,-2.134304565017576,-5.08749964364468
REALE,Real estate,-1.5,-4.0,-0.065,-0.11499999999999999,0.13327965646806225,0.15314009661835748,4.290231322660027,-0.41706441624271795,-0.11605420962953113,-0.533118625872249,-4.270541855237191,-1.1883400750519848,-5.458881930289175
ACCOMM,Accommodation,-25.0,-68.0,-0.09000000000000002,-0.7033333333333334,0.0060654857756307036,0.01352657004830918,1.240094151763224,-0.07186243044572341,-0.3405906022971644,-0.41245303274288786,-0.15096798369291428,-0.7155098453341848,-0.8664778290270991
AIRTRANS,Air transportation,-20.0,-67.0,-0.47000000000000003,-0.6466666666666667,0.0060654857756307036,0.012721417069243157,1.3652311585991188,-0.2656229850327173,-0.14076456193453984,-0.40638754696725715,-0.8162807233298758,-0.4325807814447474,-1.2488615047746232
AMUSE,"Amusements, gambling, and recreation industries",-10.0,-60.0,-0.19999999999999998,-0.43333333333333335,0.006602254428341385,0.01084272678475577,1.1931814980362434,-0.16758109444725744,-0.22855417125322566,-0.39613526570048313,-0.25874681975665176,-0.3528898361055973,-0.6116366558622491
ADMIN,Administrative and support services,-2.0,-15.0,-0.029999999999999995,-0.18666666666666665,0.024745034889962426,0.038808373590982284,1.9156809263469814,-0.12769396337779437,-0.243481559971642,-0.3711755233494364,-0.22303338321237798,-0.4252708165196338,-0.6483041997320117
MOTVEH,"Motor vehicles, bodies, trailers, and parts",-4.0,-42.0,-0.16999999999999998,-0.45999999999999996,0.0071390230810520665,0.03344068706387547,1.6918462050580965,-0.1447664671195262,-0.1550725022846606,-0.2998389694041868,-0.9618004915604026,-1.030271801837533,-1.9920722933979353
OTHSVC,"Other services, except government",-6.0,-20.0,-0.020000000000000004,-0.26,0.014922168545356952,0.028609769189479335,1.5056171659545279,-0.039672154544814105,-0.2587712163623249,-0.29844337090713907,-0.0861507192113541,-0.5619388877815654,-0.6480896069929196
SLGOV,State and local general government,0.0,-4.0,-0.13333333333333333,-0.19999999999999998,0.0713365539452496,0.09892646269457864,2.874974093329736,-0.20571475571505107,-0.07963146006594733,-0.2853462157809984,-3.7921468985555222,-1.4679267574505657,-5.260073656006088
MISCPROF,"Misc. professional, scientific, and technical svcs",-1.5,-6.0,-0.005000000000000001,-0.08166666666666667,0.03295759527643586,0.05276435856146001,2.2326155941979007,-0.03452949160832304,-0.1632160800502921,-0.19774557165861514,-0.05890126487108257,-0.2784180454004943,-0.33731931027157686
PERFORM,"Performing arts, spectator sports, museums",-10.0,-70.0,-0.3666666666666666,-0.4888888888888888,0.0027911969940955447,0.004884594739667203,1.0870712943226646,-0.10175493726655518,-0.09362885232013292,-0.19538378958668812,-0.1946964332826958,-0.17914809923502076,-0.37384453251771654
OILGAS,Oil and gas extraction,-30.0,-18.0,0.18,-0.6599999999999999,0.010037573805689749,0.01637144390767579,4.073608277736093,-0.18067632850241547,-0.0,-0.18067632850241547,1.2004352895744042,-0.0,1.2004352895744042
PETRO,Petroleum and coal products,-32.0,-30.0,0.12000000000000002,-0.9199999999999999,0.0055823939881910895,0.040955448201825013,3.861396497740152,-0.08803458107883239,-0.07943723856690028,-0.16747181964573268,1.897742690998864,-1.7124116118468784,0.18533107915198535
COMPELEC,Computer and electronic products,-1.5,-10.0,-0.025,-0.09833333333333334,0.01497584541062802,0.02753623188405797,2.28209834321103,-0.10772350314860094,-0.04203495095767928,-0.1497584541062802,-0.15710097290220856,-0.061302608050523705,-0.21840358095273227
OTRTRANS,Other transportation equipment,-2.0,-25.0,-0.105,-0.2977777777777778,0.00499194847020934,0.015673644659151907,1.462932848972281,-0.06180967236333163,-0.06298903939190187,-0.1247987117552335,-0.24075964116741888,-0.24535348500684528,-0.48611312617426417
MOVIE,Motion picture and sound recording industries,-5.0,-40.0,-0.21666666666666667,-0.31666666666666665,0.0030595813204508855,0.0051529790660225444,1.0917463433330759,-0.06105501044223151,-0.06132824237580392,-0.12238325281803543,-0.12189116447304335,-0.12243664891917043,-0.2443278133922138
FABMETAL,Fabricated metal products,-2.0,-15.0,-0.039999999999999994,-0.20749999999999996,0.0071390230810520665,0.01943102522812668,2.0298782229668704,-0.07057514363877257,-0.03651020257700842,-0.10708534621578099,-0.1577704598419768,-0.08161841623704169,-0.23938887607901851
RENTAL,Rental and leasing services,-2.0,-10.0,-0.030000000000000002,-0.13111111111111112,0.009876543209876543,0.01943102522812668,1.5164030657739247,-0.03409741013556263,-0.06466802196320282,-0.09876543209876544,-0.08839579868118531,-0.16764855242210086,-0.25604435110328616
CHEM,Chemical products,-2.0,-6.0,-0.009999999999999998,-0.10571428571428572,0.015405260332796565,0.042028985507246375,3.355754224548901,-0.04924534930362466,-0.043186212693154716,-0.09243156199677939,-0.14103894566944655,-0.12368554577905475,-0.2647244914485013
NURSING,Nursing and residential care facilities,1.5,-10.0,-0.115,-0.235,0.00880300590445518,0.014868491680085883,1.2654176142747093,-0.03977790500213954,-0.04825215404241226,-0.08803005904455181,-0.21637078960129288,-0.26246622765976235,-0.47883701726105526
EDUC,Educational services,0.0,-10.0,-0.06666666666666667,-0.14285714285714288,0.008266237251744498,0.011379495437466452,1.2038243891368925,-0.0353931898882727,-0.04726918262917229,-0.08266237251744499,-0.09132609429129404,-0.12197006948205498,-0.21329616377334903
TRUCK,Truck transportation,-3.0,-8.0,-0.0020000000000000018,-0.1442857142857143,0.009876543209876543,0.02050456253354804,1.5982630991818128,-0.003638318057098549,-0.0753740276219138,-0.07901234567901234,-0.006554337132447161,-0.13578438726667544,-0.1423387243991226
LEGAL,Legal services,-1.5,-6.0,-0.009000000000000001,-0.10071428571428571,0.012130971551261407,0.017820719269994633,1.554364222402925,-0.016677384848421378,-0.056108444459147075,-0.07278582930756844,-0.02492989960568943,-0.08387273545050686,-0.10880263505619629
MACH,Machinery,-2.0,-10.0,-0.02,-0.13111111111111112,0.0071390230810520665,0.019484702093397744,1.6466585838845467,-0.02175193388536204,-0.04963829692515863,-0.07139023081052066,-0.06416930391305319,-0.1464354837553269,-0.2106047876683801
MGMT,Management of companies and enterprises,-1.0,-5.0,-0.015000000000000001,-0.08142857142857143,0.01379495437466452,0.024798711755233495,1.6436072598299538,-0.024108012178800493,-0.04486675969452211,-0.0689747718733226,-0.06113901401299829,-0.1137841406971489,-0.17492315471014716
TRANSIT,Transit and ground passenger transportation,-5.0,-30.0,-0.32499999999999996,-0.55,0.001986044015029522,0.003542673107890499,1.0632844234108998,-0.02716281469019053,-0.032418505760695125,-0.05958132045088566,-0.1224232468178411,-0.14611073180278522,-0.26853397862062633
UTIL,Utilities,-2.0,-4.0,-0.06,-0.12,0.014707461084272679,0.02818035426731079,3.311291114607759,-0.058829844337090716,-0.0,-0.058829844337090716,-0.5598801401510703,-0.0,-0.5598801401510703
MINE_SUP,Support activities for mining,-5.0,-25.0,-0.075,-0.40714285714285714,0.0023081052066559315,0.005475040257648953,2.641286048742981,-0.05770263016639829,-0.0,-0.05770263016639829,-0.10845860586625765,-0.0,-0.10845860586625765
FOOD,"Food, beverage, and tobacco products",2.5,-4.0,-0.03833333333333334,-0.041666666666666664,0.01379495437466452,0.055018786902844875,2.640289856480867,-0.04609172997332819,-0.009088087525329901,-0.05517981749865808,-0.5568512557392774,-0.10979655035028824,-0.6666478060895656
PMETAL,Primary metals,-5.0,-15.0,-0.04999999999999999,-0.2375,0.0036500268384326356,0.012453032742887815,2.8035721510992087,-0.054750402576489526,-0.0,-0.054750402576489526,-0.1745648789734343,-0.0,-0.1745648789734343
MINE,"Mining, except oil and gas",-5.0,-12.0,-0.03,-0.25,0.004455179817498658,0.0073537305421363395,2.8348823849911184,-0.053462157809983896,-0.0,-0.053462157809983896,-0.06254088353362049,-0.0,-0.06254088353362049
