sector,label,supply_shock,demand_shock,leontief_mult,direct_supply_effect_pct,indirect_supply_effect_pct,total_supply_effect_pct,demand_effect_pct,amplification_ratio
REALE,Real estate,-0.065,-0.11499999999999999,4.290231322660027,-0.8663177670424047,-2.8503858524998122,-3.7167036195422165,-1.1883400750519848,4.290231322660027
SLGOV,State and local general government,-0.13333333333333333,-0.19999999999999998,2.874974093329736,-0.951154052603328,-1.7833892073968287,-2.7345432600001565,-1.4679267574505657,2.874974093329736
AMBULAT,Ambulatory health care services,-0.275,-0.6,2.2074471091333216,-1.0583735909822867,-1.2779301328146146,-2.3363037237969015,-2.6858255630649164,2.2074471091333216
HOSPITAL,Hospitals,-0.21749999999999997,-0.47,2.1750338231416158,-0.7763687600644121,-0.9122595523062019,-1.688628312370614,-2.134304565017576,2.1750338231416158
CONST,Construction,-0.045,-0.16499999999999998,2.754469442982221,-0.20217391304347826,-0.35470795260292726,-0.5568818656464055,-0.7595866300353449,2.754469442982221
RETAIL,Retail trade,-0.039999999999999994,-0.19999999999999998,2.3472812358180644,-0.21535158346752548,-0.29013914750950476,-0.5054907309770302,-1.1077369827455619,2.3472812358180644
AIRTRANS,Air transportation,-0.47000000000000003,-0.6466666666666667,1.3652311585991188,-0.2850778314546431,-0.1041193066731036,-0.3891971381277467,-0.4325807814447474,1.3652311585991188
UTIL,Utilities,-0.06,-0.12,3.311291114607759,-0.08824476650563608,-0.203959344735113,-0.29220411124074913,-0.0,3.311291114607759
FOODSVC,Food services and drinking places,-0.04799999999999999,-0.47,2.1475370121686956,-0.11877616747181961,-0.13630004833746048,-0.2550762158092801,-1.6962900712738915,2.1475370121686956
MOTVEH,"Motor vehicles, bodies, trailers, and parts",-0.16999999999999998,-0.45999999999999996,1.6918462050580965,-0.12136339237788511,-0.08396480244961653,-0.20532819482750164,-1.030271801837533,1.6918462050580965
CREDIT,"Federal Reserve banks, credit intermediation",-0.025,0.003333333333333334,2.1553946722601105,-0.08225979602791197,-0.0950425300718529,-0.17730232609976487,0.0108741023987181,2.1553946722601105
AMUSE,"Amusements, gambling, and recreation industries",-0.19999999999999998,-0.43333333333333335,1.1931814980362434,-0.1320450885668277,-0.02550866801766821,-0.1575537565844959,-0.3528898361055973,1.1931814980362434
ADMIN,Administrative and support services,-0.029999999999999995,-0.18666666666666665,1.9156809263469814,-0.07423510466988727,-0.06797566941158749,-0.14221077408147476,-0.4252708165196338,1.9156809263469814
FOOD,"Food, beverage, and tobacco products",-0.03833333333333334,-0.041666666666666664,2.640289856480867,-0.052880658436214,-0.0867396076369512,-0.1396202660731652,-0.10979655035028824,2.640289856480867
WHOLE,Wholesale trade,-0.008333333333333331,-0.15,2.934838228616692,-0.047548756485954545,-0.09199915177221074,-0.13954790825816527,-0.8974581921248344,2.934838228616692
NURSING,Nursing and residential care facilities,-0.115,-0.235,1.2654176142747093,-0.10123456790123457,-0.02686943749447675,-0.12810400539571132,-0.26246622765976235,1.2654176142747093
PERFORM,"Performing arts, spectator sports, museums",-0.3666666666666666,-0.4888888888888888,1.0870712943226646,-0.10234388978350328,-0.008911214949465758,-0.11125510473296905,-0.17914809923502076,1.0870712943226646
COMPELEC,Computer and electronic products,-0.025,-0.09833333333333334,2.28209834321103,-0.03743961352657005,-0.04800126647287672,-0.08544087999944677,-0.061302608050523705,2.28209834321103
OTRTRANS,Other transportation equipment,-0.105,-0.2977777777777778,1.462932848972281,-0.05241545893719807,-0.024264837735986713,-0.07668029667318478,-0.24535348500684528,1.462932848972281
MOVIE,Motion picture and sound recording industries,-0.21666666666666667,-0.31666666666666665,1.0917463433330759,-0.06629092860976919,-0.006081950296100305,-0.07237287890586949,-0.12243664891917043,1.0917463433330759
TRANSIT,Transit and ground passenger transportation,-0.32499999999999996,-0.55,1.0632844234108998,-0.06454643048845946,-0.004084783636693881,-0.06863121412515334,-0.14611073180278522,1.0632844234108998
ACCOMM,Accommodation,-0.09000000000000002,-0.7033333333333334,1.240094151763224,-0.05458937198067634,-0.013106588960987596,-0.06769596094166394,-0.7155098453341848,1.240094151763224
EDUC,Educational services,-0.06666666666666667,-0.14285714285714288,1.2038243891368925,-0.05510824834496331,-0.011232405055316315,-0.06634065340027963,-0.12197006948205498,1.2038243891368925
FABMETAL,Fabricated metal products,-0.039999999999999994,-0.20749999999999996,2.0298782229668704,-0.028556092324208263,-0.02940929761773349,-0.057965389941941746,-0.08161841623704169,2.0298782229668704
SECURIT,"Securities, commodity contracts, and investments",-0.01,0.01,2.05973607877341,-0.0274825550187869,-0.029124255090283734,-0.05660681010907064,0.02334944931103881,2.05973607877341
CHEM,Chemical products,-0.009999999999999998,-0.10571428571428572,3.355754224548901,-0.015405260332796563,-0.036291007109261114,-0.05169626744205767,-0.12368554577905475,3.355754224548901
