Metric,COVID-19 (Feb–May 2020),Inflation (2020Q4–2022Q4)
Total effect (%),-28.10%,6.24%
Supply contributions (%),-8.97%,-19.01%
Demand contributions (%),-19.19%,24.79%
Supply share of total,31.9%,43.4%
Demand share of total,68.1%,56.6%
Partial-eq. supply effect (%),-4.59%,-8.25%
Network amplification (ratio),-0.488,-0.566
Avg. Leontief multiplier (weighted),1.696,2.023
Supply HHI (concentration),0.1054,0.0978
Demand HHI (concentration),0.1441,0.0893
Top contributing sector,Health Care,Other Manufacturing
Top sector contribution (%),-9.69%,-4.34%
Top-5 sector share of total,61.1%,62.0%
