sector,label,delta_p_pct,delta_y_pct,supply_shock,demand_shock,va_share,domar_weight,leontief_multiplier,supply_contribution_gdp_pct,demand_contribution_gdp_pct,total_contribution_gdp_pct,bf_supply_contrib_pp,bf_demand_contrib_pp,bf_total_contrib_pp
COMPELEC,Computer and electronic products,3.0,-4.0,-0.046,-0.003333333333333334,0.01497584541062802,0.02753623188405797,2.28209834321103,-0.05947581810412703,-0.00042756353838505474,-0.05990338164251208,-0.2890657901400638,-0.0020780545101872446,-0.291143844650251
MOTVEH,"Motor vehicles, bodies, trailers, and parts",18.0,-8.0,-0.22,0.09999999999999999,0.0071390230810520665,0.03344068706387547,1.6918462050580965,-0.048402489963208464,-0.008709694685208073,-0.05711218464841654,-1.2446829890781683,0.22397213083424627,-1.020710858243922
PRINT,Printing and related support activities,10.0,3.0,-0.08800000000000001,0.1375,0.0022544283413848632,0.0051529790660225444,1.092151727488217,0.003262615817437503,0.0035006692067170862,0.006763285024154589,-0.04952494790027085,0.053138484510540186,0.0036135366102693373
TEXTILE,Textile mills and textile product mills,12.0,4.0,-0.104,0.16999999999999998,0.0017176596886741813,0.004884594739667203,1.6311617098898386,0.004863319718430301,0.0020073190362664244,0.006870638754696725,-0.08286266463981444,0.03420128919283677,-0.04866137544697767
APPAREL,Apparel and leather and allied products,8.0,5.0,-0.06,0.11846153846153847,0.0014492753623188406,0.003542673107890499,1.0634585302587478,0.003029562600574886,0.004216814211019317,0.007246376811594203,-0.022604915619026524,0.03146352856452467,0.008858612945498143
FEDGOVE,Federal government enterprises,6.0,2.0,-0.019999999999999997,0.12666666666666665,0.003864734299516908,0.006816961889425657,1.121239032725507,0.0014749904444832508,0.006254478154550566,0.007729468599033816,-0.015286887510052534,0.06482177856832969,0.049534891058277145
PIPE,Pipeline transportation,20.0,5.0,-0.15000000000000002,0.30000000000000004,0.0017176596886741813,0.003542673107890499,2.011112883879321,0.008588298443370907,0.0,0.008588298443370907,-0.1068707329597707,0.0,-0.1068707329597707
WATERTRANS,Water transportation,20.0,8.0,-0.14666666666666667,0.3,0.0011808910359634996,0.0027375201288244765,1.1507458239675157,0.009447128287707997,0.0,0.009447128287707997,-0.0462027845586528,0.0,-0.0462027845586528
FURN,Furniture and related products,11.0,4.0,-0.094,0.14333333333333334,0.002522812667740204,0.006548577563070317,1.1171049043469623,0.004986059336702849,0.005105191334257967,0.010091250670960816,-0.06876521225470189,0.07040822059956879,0.0016430083448668985
FOREST,"Forestry, fishing, and related activities",12.0,6.0,-0.09,0.22,0.001932367149758454,0.0029522275899087494,2.31734784185117,0.011594202898550725,0.0,0.011594202898550725,-0.06157204410715669,0.0,-0.06157204410715669
FARM,Farms,21.0,2.0,-0.19999999999999998,0.25,0.006548577563070317,0.011808910359634998,2.7769943383559443,0.013097155126140634,0.0,0.013097155126140634,-0.6558655442171849,0.0,-0.6558655442171849
NMMIN,Nonmetallic mineral products,14.000000000000002,6.0,-0.11000000000000001,0.22571428571428573,0.0022544283413848632,0.004884594739667203,1.2980573760797753,0.013526570048309178,0.0,0.013526570048309178,-0.06974532654084031,0.0,-0.06974532654084031
PAPER,Paper products,14.000000000000002,4.0,-0.12000000000000001,0.19714285714285718,0.0036500268384326356,0.010037573805689749,1.8146450978843933,0.0121714641793623,0.0024286431743682424,0.014600107353730544,-0.21857560921377236,0.043613665010039986,-0.17496194420373237
ELECEQUIP,"Electrical equipment, appliances, and components",10.0,4.0,-0.084,0.14,0.0036500268384326356,0.008964036500268384,1.4819308240631923,0.011960765616343367,0.002639341737387176,0.014600107353730544,-0.11158628878131222,0.02462336933500536,-0.08696291944630685
SLGOVE,State and local government enterprises,6.0,2.0,-0.019999999999999997,0.12666666666666665,0.008266237251744498,0.01728395061728395,1.3058016466659366,0.003552365292353242,0.012980109211135755,0.016532474503488995,-0.045138822353884216,0.1649342890148954,0.11979546666101117
WASTE,Waste management and remediation services,9.0,5.0,-0.065,0.17333333333333334,0.0033279656468062266,0.005743424584004294,1.1022054366021705,0.005909710863128588,0.010730117370902547,0.016639828234031134,-0.041147819707826605,0.07471108912898257,0.03356326942115597
WOOD,Wood products,9.0,6.0,-0.066,0.15666666666666668,0.0031132581857219537,0.008158883521202361,1.9558641808279045,0.01867954911433172,0.0,0.01867954911433172,-0.10532060902880053,0.0,-0.10532060902880053
OTRTRANS,Other transportation equipment,9.0,5.0,-0.065,0.14555555555555555,0.00499194847020934,0.015673644659151907,1.462932848972281,0.013830595577610133,0.011129146773436568,0.0249597423510467,-0.1490416826274498,0.11993024826827138,-0.0291114343591784
PLASTIC,Plastics and rubber products,18.0,5.0,-0.16,0.2425,0.00499194847020934,0.014331723027375202,1.6632629471081057,0.020613631093889986,0.004346111257156712,0.0249597423510467,-0.38139878207438693,0.08041288469214318,-0.3009858973822438
FUNDS,"Funds, trusts, and other financial vehicles",4.0,6.0,-0.010000000000000002,0.12571428571428572,0.0047235641438539986,0.006280193236714976,1.1125226815254334,0.0029915218944885353,0.025349862968635454,0.028341384863123993,-0.006986857420208038,0.05920594414166886,0.052219086721460826
PMETAL,Primary metals,16.0,8.0,-0.10666666666666666,0.26,0.0036500268384326356,0.012453032742887815,2.8035721510992087,0.02920021470746109,0.0,0.02920021470746109,-0.3724050751433266,0.0,-0.3724050751433266
WAREHOUSE,Warehousing and storage,11.0,10.0,-0.07,0.2528571428571429,0.0030595813204508855,0.005743424584004294,1.2525176356467422,0.024800936909216767,0.005794876295292085,0.030595813204508857,-0.05035618406330703,0.011766001357851058,-0.03859018270545597
EDUC,Educational services,6.0,4.0,-0.033333333333333326,0.11714285714285715,0.008266237251744498,0.011379495437466452,1.2038243891368925,0.01036423550945225,0.02270071349752574,0.03306494900697799,-0.045663047145647014,0.10001545697528509,0.05435240982963807
MINE_SUP,Support activities for mining,15.0,15.0,-0.075,0.3642857142857143,0.0023081052066559315,0.005475040257648953,2.641286048742981,0.03462157809983897,0.0,0.03462157809983897,-0.10845860586625765,0.0,-0.10845860586625765
MISCMFG,Miscellaneous manufacturing,9.0,8.0,-0.057999999999999996,0.16999999999999998,0.004455179817498658,0.01057434245840043,1.1870725635163544,0.012475126524585533,0.023166312015403735,0.035641438539989266,-0.07280456849564071,0.1351980957141339,0.0623935272184932
MINE,"Mining, except oil and gas",18.0,8.0,-0.12666666666666665,0.31333333333333335,0.004455179817498658,0.0073537305421363395,2.8348823849911184,0.035641438539989266,0.0,0.035641438539989266,-0.2640615082530643,0.0,-0.2640615082530643
TRANSIT,Transit and ground passenger transportation,6.0,20.0,0.19,0.39333333333333337,0.001986044015029522,0.003542673107890499,1.0632844234108998,0.01614684957820296,0.02357403072238748,0.03972088030059044,0.07157051352427635,0.10449131122865854,0.1760618247529349
RAILTRANS,Rail transportation,12.0,15.0,-0.020000000000000004,0.3342857142857143,0.0027911969940955447,0.0051529790660225444,1.3891670593824537,0.008920785079949093,0.03294716983148407,0.04186795491143317,-0.014316697552411764,0.05287591411046465,0.03855921655805288
MACH,Machinery,11.0,6.0,-0.086,0.17666666666666667,0.0071390230810520665,0.019484702093397744,1.6466585838845467,0.024974744612980992,0.01785939387333141,0.042834138486312394,-0.27592800682612867,0.1973156094669235,-0.07861239735920517
OTHERTRANS,Other transportation and support activities,12.0,14.000000000000002,-0.04999999999999999,0.29500000000000004,0.0030595813204508855,0.007085346215780998,1.3365977303676455,0.020060563966326456,0.022773574519985948,0.0428341384863124,-0.04735128835440933,0.053755123523277264,0.006403835168867935
NURSING,Nursing and residential care facilities,8.0,5.0,-0.03,0.20500000000000002,0.00880300590445518,0.014868491680085883,1.2654176142747093,0.008704870098601093,0.03531015942367482,0.04401502952227591,-0.056444553809032925,0.22895990072447353,0.17251534691544063
UTIL,Utilities,15.5,3.0,-0.095,0.22999999999999998,0.014707461084272679,0.02818035426731079,3.311291114607759,0.04412238325281804,0.0,0.04412238325281804,-0.8864768885725282,0.0,-0.8864768885725282
FOOD,"Food, beverage, and tobacco products",19.0,3.5000000000000004,-0.17833333333333334,0.24833333333333335,0.01379495437466452,0.055018786902844875,2.640289856480867,0.0385455815051607,0.009736758806165115,0.04828234031132582,-2.5905688853957693,0.654387440087718,-1.9361814453080513
PETRO,Petroleum and coal products,34.0,9.0,-0.28,0.52,0.0055823939881910895,0.040955448201825013,3.861396497740152,0.04122959806835478,0.009011947825365029,0.0502415458937198,-4.428066278997349,0.9678848240873662,-3.460181454909983
FABMETAL,Fabricated metal products,13.0,8.0,-0.098,0.22999999999999998,0.0071390230810520665,0.01943102522812668,2.0298782229668704,0.04628033513542927,0.010831849512987267,0.05711218464841654,-0.38653762661284324,0.09046860594949199,-0.2960690206633513
SOCIALAS,Social assistance,6.0,8.0,-0.019999999999999997,0.19333333333333333,0.007192699946323135,0.010305958132045089,1.1838978872734212,0.008070164730700479,0.049471434839884594,0.05754159957058508,-0.024402404117713026,0.1495907438733517,0.12518833975563864
CHEM,Chemical products,23.0,4.0,-0.21000000000000002,0.28714285714285714,0.015405260332796565,0.042028985507246375,3.355754224548901,0.055343474291971825,0.006277567039214444,0.06162104133118627,-2.9618178590583777,0.33595668515662164,-2.6258611739017566
PERFORM,"Performing arts, spectator sports, museums",12.0,28.000000000000004,0.06666666666666668,0.27555555555555555,0.0027911969940955447,0.004884594739667203,1.0870712943226646,0.02028677871378356,0.057866737120891694,0.07815351583467525,0.035399351505944705,0.10097438320519352,0.13637373471113823
RENTAL,Rental and leasing services,11.0,8.0,-0.07,0.1988888888888889,0.009876543209876543,0.01943102522812668,1.5164030657739247,0.035383972876189385,0.04362837280282295,0.07901234567901234,-0.2062568635894324,0.25431432952166144,0.048057465932229045
INSURE,Insurance carriers and related activities,12.0,4.0,-0.09999999999999999,0.2,0.02200751476113795,0.04176060118089103,1.9481963065699637,0.05289052434660853,0.035139534697943266,0.0880300590445518,-0.8135784898075316,0.5405272480329497,-0.2730512417745818
MGMT,Management of companies and enterprises,7.5,7.000000000000001,-0.039999999999999994,0.17500000000000002,0.01379495437466452,0.024798711755233495,1.6436072598299538,0.03862776426318811,0.05793691635946354,0.09656468062265164,-0.16303737070132873,0.24453609184913583,0.08149872114780708
TRUCK,Truck transportation,18.0,10.0,-0.13999999999999999,0.32285714285714284,0.009876543209876543,0.02050456253354804,1.5982630991818128,0.05941736114216553,0.03934807095659991,0.09876543209876544,-0.4588035992713008,0.30383437150761033,-0.15496922776369043
FEDGOV,Federal general government,6.0,2.0,0.006666666666666668,0.15999999999999998,0.049436392914653786,0.0704777241009125,2.296788037428375,0.011335506236645806,0.08753727959266178,0.09887278582930757,0.10791492908010224,0.833361926842575,0.9412768559226773
INFODATA,Information and data processing services,2.0,15.0,0.017499999999999998,0.2342857142857143,0.006602254428341385,0.01057434245840043,1.1888603495134207,0.010476157052201108,0.08855765937291966,0.09903381642512078,0.02199997882419494,0.18597149901596385,0.2079714778401588
BROADCAST,Broadcasting and telecommunications,3.0,6.0,0.0,0.13,0.01808910359634997,0.03344068706387547,1.6665324601652833,0.0,0.10853462157809982,0.10853462157809982,0.0,0.30316924100002157,0.30316924100002157
OILGAS,Oil and gas extraction,39.0,12.0,-0.31,0.63,0.010037573805689749,0.01637144390767579,4.073608277736093,0.12045088566827698,0.0,0.12045088566827698,-2.0674163320448073,0.0,-2.0674163320448073
LEGAL,Legal services,8.5,10.0,-0.045000000000000005,0.22785714285714287,0.012130971551261407,0.017820719269994633,1.554364222402925,0.0480947731663811,0.07321494234623299,0.12130971551261409,-0.12464949802844716,0.18975462843057936,0.0651051304021322
MOVIE,Motion picture and sound recording industries,5.0,40.0,0.21666666666666667,0.31666666666666665,0.0030595813204508855,0.0051529790660225444,1.0917463433330759,0.06105501044223151,0.06132824237580392,0.12238325281803543,0.12189116447304335,0.12243664891917043,0.2443278133922138
PUBLISH,Publishing industries (including software),4.0,12.0,-0.010000000000000002,0.19,0.011111111111111112,0.02050456253354804,1.832259778565991,0.033674108089744366,0.09965922524358896,0.13333333333333333,-0.03756968520731126,0.11118826697436632,0.07361858176705505
CREDIT,"Federal Reserve banks, credit intermediation",10.0,5.0,-0.07500000000000001,0.18333333333333335,0.03290391841116479,0.05115405260332796,2.1553946722601105,0.09547057210996819,0.06904901994585574,0.16451959205582395,-0.826928793342949,0.5980756319294955,-0.22885316141345347
AMUSE,"Amusements, gambling, and recreation industries",9.0,30.0,0.06,0.25666666666666665,0.006602254428341385,0.01084272678475577,1.1931814980362434,0.05363741314731231,0.1444302197029292,0.19806763285024157,0.07762404592699554,0.20901936446254607,0.2866434103895416
ACCOMM,Accommodation,16.0,35.0,0.014999999999999986,0.3933333333333333,0.0060654857756307036,0.01352657004830918,1.240094151763224,0.012559359353297966,0.19973264279377662,0.2122920021470746,0.025161330615485682,0.40014294667978106,0.42530427729526676
SLGOV,State and local general government,6.0,3.0,0.04000000000000001,0.21,0.0713365539452496,0.09892646269457864,2.874974093329736,0.0908808535648569,0.1231288082708919,0.21400966183574877,1.1376440695666568,1.541323095323094,2.678967164889751
HOSPITAL,Hospitals,7.000000000000001,6.0,0.0049999999999999906,0.27,0.03569511540526033,0.06242619431025228,2.1750338231416158,0.01123661647430653,0.20293407595725546,0.21417069243156198,0.06788954203740456,1.2260898564994587,1.2939793985368633
AIRTRANS,Air transportation,22.0,38.0,0.16,0.4733333333333334,0.0060654857756307036,0.012721417069243157,1.3652311585991188,0.10773298581523935,0.12275547365872738,0.23048845947396673,0.27788279943144706,0.3166312936348151,0.5945140930662622
AMBULAT,Ambulatory health care services,5.5,6.0,0.0049999999999999975,0.205,0.038486312399355876,0.0618894256575416,2.2074471091333216,0.015998248060675888,0.21491962633545936,0.23091787439613523,0.0683088168768309,0.9176570673805131,0.985965884257344
SECURIT,"Securities, commodity contracts, and investments",6.0,9.0,-0.024,0.1725,0.0274825550187869,0.038808373590982284,2.05973607877341,0.0798007346328832,0.16754226053619892,0.2473429951690821,-0.1918440173852722,0.4027780006154194,0.2109339832301472
ADMIN,Administrative and support services,10.0,10.0,-0.06666666666666668,0.21111111111111114,0.024745034889962426,0.038808373590982284,1.9156809263469814,0.12558356513721677,0.1218667837624075,0.24745034889962428,-0.49562974047195113,0.48096104249244304,-0.014668697979508104
COMPDES,Computer systems design and related services,6.0,12.0,-0.03,0.21,0.02200751476113795,0.03344068706387547,2.279651298231063,0.14047325959565363,0.12361691753800179,0.2640901771336554,-0.22869931703670726,0.20125613014534693,-0.027443186891360327
OTHSVC,"Other services, except government",12.0,18.0,-0.048,0.3,0.014922168545356952,0.028609769189479335,1.5056171659545279,0.06494278341742092,0.2036562503990042,0.2685990338164251,-0.20676172610724983,0.6483910243633447,0.441629298256095
MISCPROF,"Misc. professional, scientific, and technical svcs",8.0,10.0,-0.04666666666666667,0.19111111111111112,0.03295759527643586,0.05276435856146001,2.2326155941979007,0.15082461217520424,0.17875134058915437,0.3295759527643586,-0.5497451387967706,0.6515361062433336,0.101790967446563
CONST,Construction,16.5,8.5,-0.1225,0.27125,0.04492753623188406,0.07702630166398282,2.754469442982221,0.25795098634560987,0.1239330716254047,0.38188405797101455,-2.5990407794322983,1.2487143842247717,-1.3503263952075266
RETAIL,Retail trade,9.5,7.5,-0.07,0.16999999999999998,0.053837895866881376,0.07418142780461622,2.3472812358180644,0.22780520761806075,0.17597901138354957,0.4037842190016103,-1.2188727147237766,0.9415764353337278,-0.27729627939004875
WHOLE,Wholesale trade,9.0,9.5,-0.05833333333333333,0.20875,0.057058507783145467,0.09033816425120773,2.934838228616692,0.2998818679476185,0.24217395599226335,0.5420558239398819,-1.5465794046937396,1.2489626507070613,-0.29761675398667853
FOODSVC,Food services and drinking places,18.5,22.0,-0.097,0.36833333333333335,0.024745034889962426,0.050617283950617285,2.1475370121686956,0.24080000673695107,0.30359076084222236,0.5443907675791734,-1.0544141601722103,1.3293620771330854,0.27494791696087517
REALE,Real estate,13.5,5.5,-0.02500000000000001,0.27249999999999996,0.13327965646806225,0.15314009661835748,4.290231322660027,0.2700601649763808,0.46297794559796157,0.7330381105743424,-1.6425160981681508,2.8158493082753555,1.1733332101072045
