sector,label,supply_shock,demand_shock,supply_contribution_gdp_pct,demand_contribution_gdp_pct,total_contribution_gdp_pct,inflation_type
COMPELEC,Computer and electronic products,-0.046,-0.003333333333333334,-0.05947581810412703,-0.00042756353838505474,-0.05990338164251208,Neutral
MOTVEH,"Motor vehicles, bodies, trailers, and parts",-0.22,0.09999999999999999,-0.048402489963208464,-0.008709694685208073,-0.05711218464841654,Both (Mixed)
PRINT,Printing and related support activities,-0.08800000000000001,0.1375,0.003262615817437503,0.0035006692067170862,0.006763285024154589,Both (Mixed)
TEXTILE,Textile mills and textile product mills,-0.104,0.16999999999999998,0.004863319718430301,0.0020073190362664244,0.006870638754696725,Both (Mixed)
APPAREL,Apparel and leather and allied products,-0.06,0.11846153846153847,0.003029562600574886,0.004216814211019317,0.007246376811594203,Both (Mixed)
FEDGOVE,Federal government enterprises,-0.019999999999999997,0.12666666666666665,0.0014749904444832508,0.006254478154550566,0.007729468599033816,Demand-Pull
PIPE,Pipeline transportation,-0.15000000000000002,0.30000000000000004,0.008588298443370907,0.0,0.008588298443370907,Both (Mixed)
WATERTRANS,Water transportation,-0.14666666666666667,0.3,0.009447128287707997,0.0,0.009447128287707997,Both (Mixed)
FURN,Furniture and related products,-0.094,0.14333333333333334,0.004986059336702849,0.005105191334257967,0.010091250670960816,Both (Mixed)
FOREST,"Forestry, fishing, and related activities",-0.09,0.22,0.011594202898550725,0.0,0.011594202898550725,Both (Mixed)
FARM,Farms,-0.19999999999999998,0.25,0.013097155126140634,0.0,0.013097155126140634,Both (Mixed)
NMMIN,Nonmetallic mineral products,-0.11000000000000001,0.22571428571428573,0.013526570048309178,0.0,0.013526570048309178,Both (Mixed)
PAPER,Paper products,-0.12000000000000001,0.19714285714285718,0.0121714641793623,0.0024286431743682424,0.014600107353730544,Both (Mixed)
ELECEQUIP,"Electrical equipment, appliances, and components",-0.084,0.14,0.011960765616343367,0.002639341737387176,0.014600107353730544,Both (Mixed)
SLGOVE,State and local government enterprises,-0.019999999999999997,0.12666666666666665,0.003552365292353242,0.012980109211135755,0.016532474503488995,Demand-Pull
WASTE,Waste management and remediation services,-0.065,0.17333333333333334,0.005909710863128588,0.010730117370902547,0.016639828234031134,Both (Mixed)
WOOD,Wood products,-0.066,0.15666666666666668,0.01867954911433172,0.0,0.01867954911433172,Both (Mixed)
OTRTRANS,Other transportation equipment,-0.065,0.14555555555555555,0.013830595577610133,0.011129146773436568,0.0249597423510467,Both (Mixed)
PLASTIC,Plastics and rubber products,-0.16,0.2425,0.020613631093889986,0.004346111257156712,0.0249597423510467,Both (Mixed)
