sector,label,delta_p_pct,delta_y_pct,supply_shock,demand_shock,final_demand_share,supply_price_contrib_pct,demand_price_contrib_pct,weighted_supply_price_pct,weighted_demand_price_pct,upstream_cost_propagation_pct,total_price_contrib_pct
REALE,Real estate,13.5,5.5,-0.02500000000000001,0.27249999999999996,0.10333391956973782,1.3888888888888893,12.11111111111111,0.14351933273574702,1.2514885814557135,0.47495125797580157,1.3950079141914604
CONST,Construction,16.5,8.5,-0.1225,0.27125,0.04603555333547545,8.75,7.750000000000002,0.4028110916854102,0.3567755383499348,2.085245507331508,0.759586630035345
FOODSVC,Food services and drinking places,18.5,22.0,-0.097,0.36833333333333335,0.03609127811221046,6.5540540540540535,11.945945945945944,0.2365441876273253,0.43114445744856816,3.1341443617728117,0.6676886450758934
PETRO,Petroleum and coal products,34.0,9.0,-0.28,0.52,0.01861316969398781,21.000000000000004,13.0,0.39087656357374406,0.24197120602184155,14.358993541024462,0.6328477695955856
WHOLE,Wholesale trade,9.0,9.5,-0.05833333333333333,0.20875,0.05983054614165562,4.605263157894736,4.394736842105263,0.2755354098628877,0.2629395054120129,1.9040468117230285,0.5384749152749007
RETAIL,Retail trade,9.5,7.5,-0.07,0.16999999999999998,0.05538684913727811,5.250000000000001,4.25,0.2907809579707101,0.23539410883343195,1.0968748688731553,0.526175066804142
FOOD,"Food, beverage, and tobacco products",19.0,3.5000000000000004,-0.17833333333333334,0.24833333333333335,0.02635117208406918,14.86111111111111,4.138888888888889,0.3916076962493614,0.109064573347953,5.490472830261787,0.5006722695973145
SLGOV,State and local general government,6.0,3.0,0.04000000000000001,0.21,0.07339633787252829,-2.4000000000000004,8.4,-0.17615121089406793,0.6165292381292378,1.2151031719627405,0.44037802723516983
MOTVEH,"Motor vehicles, bodies, trailers, and parts",18.0,-8.0,-0.22,0.09999999999999999,0.02239721308342463,14.666666666666666,3.3333333333333326,0.32849245855689463,0.07465737694474875,3.6959025495173705,0.4031498355016434
CREDIT,"Federal Reserve banks, credit intermediation",10.0,5.0,-0.07500000000000001,0.18333333333333335,0.0326223071961543,5.769230769230769,4.230769230769231,0.1882056184393517,0.13801745352219127,0.30854639520073984,0.326223071961543
INSURE,Insurance carriers and related activities,12.0,4.0,-0.09999999999999999,0.2,0.027026362401647484,8.0,4.000000000000001,0.21621089921317987,0.10810544960658997,-0.006949570718128785,0.32431634881976984
HOSPITAL,Hospitals,7.000000000000001,6.0,0.0049999999999999906,0.27,0.045410735425905874,-0.3636363636363629,7.363636363636364,-0.016512994700329377,0.3343881426816705,1.8068920606368086,0.31787514798134114
FEDGOV,Federal general government,6.0,2.0,0.006666666666666668,0.15999999999999998,0.052085120427660954,-0.4000000000000001,6.399999999999999,-0.020834048171064386,0.33334477073703006,1.1000470119510803,0.3125107225659657
MISCPROF,"Misc. professional, scientific, and technical svcs",8.0,10.0,-0.04666666666666667,0.19111111111111112,0.0340920055592442,3.5897435897435903,4.410256410256411,0.1223815584177997,0.15035448605615392,1.121105504103567,0.2727360444739536
CHEM,Chemical products,23.0,4.0,-0.21000000000000002,0.28714285714285714,0.011699984060180853,15.555555555555555,7.444444444444444,0.1819997520472577,0.0870998813369019,6.856162858075784,0.2690996333841596
OTHSVC,"Other services, except government",12.0,18.0,-0.048,0.3,0.021613034145444826,3.428571428571429,8.57142857142857,0.07410183135581083,0.18525457838952705,1.3097523906064,0.2593564097453379
AMBULAT,Ambulatory health care services,5.5,6.0,0.0049999999999999975,0.205,0.04476375938441528,-0.357142857142857,5.857142857142858,-0.01598705692300545,0.26218773353728947,2.310398245859842,0.24620067661428402
ADMIN,Administrative and support services,10.0,10.0,-0.06666666666666668,0.21111111111111114,0.02278236517069467,5.1282051282051295,4.871794871794872,0.11683264190099833,0.1109910098059484,1.0752665164278112,0.22782365170694674
TRUCK,Truck transportation,18.0,10.0,-0.13999999999999999,0.32285714285714284,0.009410799117492357,10.937499999999998,7.062499999999999,0.10293061534757265,0.06646376876728977,5.239895128181237,0.1693943841148624
ACCOMM,Accommodation,16.0,35.0,0.014999999999999986,0.3933333333333333,0.010173125763045281,-0.8571428571428563,16.857142857142858,-0.008719822082610233,0.17148983429133474,1.6295859237209194,0.1627700122087245
