Sector,Output Chg (%),Price Chg (%),Supply Shock,Demand Shock,Domar Weight,Leontief Mult.,Supply → GDP (%),Demand → GDP (%),Total → GDP (%)
Food services and drinking places,-37.267,-40.990,0.261,-0.720,0.040,1.663,-0.350,-0.425,-0.775
Real estate,-5.297,1.019,-0.116,-0.122,0.164,3.760,-0.534,-0.100,-0.634
Retail trade,-8.196,-12.816,0.101,-0.210,0.091,1.334,-0.200,-0.280,-0.480
Wholesale trade,-7.852,-2.500,-0.001,-0.123,0.086,4.166,-0.031,-0.445,-0.476
Administrative and support services,-16.290,-2.000,-0.034,-0.201,0.045,3.634,-0.415,-0.048,-0.464
Ambulatory health care services,-12.545,-29.243,0.167,-0.606,0.055,1.042,-0.103,-0.335,-0.438
Accommodation,-48.692,-80.000,0.557,-1.125,0.013,1.215,-0.176,-0.226,-0.402
"Other services, except government",-17.175,-72.972,0.661,-0.901,0.037,1.822,-0.259,-0.124,-0.382
Construction,-9.139,-1.500,-0.031,-0.129,0.075,1.710,-0.125,-0.245,-0.371
Motion picture and sound recording industries,-53.834,-5.000,-0.309,-0.409,0.009,1.259,-0.217,-0.126,-0.343
State and local general government,-4.000,0.000,-0.133,-0.200,0.118,1.000,-0.133,-0.195,-0.328
"Amusements, gambling, and recreation industries",-54.088,-51.402,0.244,-0.815,0.008,1.041,-0.065,-0.187,-0.252
"Performing arts, spectator sports, museums",-44.435,-80.000,0.504,-1.047,0.009,1.344,-0.135,-0.116,-0.251
"Motor vehicles, bodies, trailers, and parts",-25.126,3.445,-0.160,-0.217,0.038,2.015,-0.166,-0.061,-0.227
Rental and leasing services,-19.804,-2.000,-0.079,-0.240,0.020,2.393,-0.191,-0.035,-0.226
"Misc. professional, scientific, and technical svcs",-4.730,-9.990,0.084,-0.152,0.071,5.417,-0.198,-0.008,-0.206
Other transportation equipment,-25.126,-2.000,-0.106,-0.299,0.019,1.424,-0.083,-0.100,-0.183
Educational services,-13.139,-18.689,0.099,-0.375,0.018,1.071,-0.036,-0.111,-0.147
Air transportation,-25.708,-80.000,0.543,-0.971,0.010,1.347,-0.079,-0.058,-0.136
Chemical products,-5.637,1.165,-0.040,-0.069,0.046,3.888,-0.101,-0.017,-0.118
Computer and electronic products,-7.130,4.271,-0.071,-0.017,0.021,2.129,-0.107,-0.003,-0.110
"Food, beverage, and tobacco products",-7.622,8.072,-0.106,-0.046,0.052,2.009,-0.096,-0.012,-0.109
Petroleum and coal products,-11.545,-31.658,0.240,-0.547,0.028,2.468,-0.077,-0.027,-0.104
Machinery,-11.939,-2.000,-0.028,-0.153,0.022,1.964,-0.042,-0.060,-0.101
Social assistance,-15.500,-13.848,0.061,-0.397,0.010,1.001,-0.014,-0.086,-0.100
Fabricated metal products,-11.849,-2.000,-0.027,-0.168,0.021,2.587,-0.076,-0.022,-0.098
Oil and gas extraction,-7.783,-30.000,0.248,-0.456,0.014,2.757,-0.089,-0.000,-0.089
Hospitals,-3.561,-19.927,0.155,-0.318,0.044,1.002,-0.027,-0.054,-0.081
Miscellaneous manufacturing,-17.592,-36.359,0.293,-0.540,0.009,1.209,-0.045,-0.036,-0.081
Support activities for mining,-25.036,-5.000,-0.075,-0.408,0.004,1.088,-0.014,-0.063,-0.078
Broadcasting and telecommunications,-3.299,-3.972,0.023,-0.095,0.047,1.956,-0.033,-0.042,-0.075
Transit and ground passenger transportation,-39.367,-80.000,0.308,-1.456,0.003,1.115,-0.028,-0.047,-0.075
Management of companies and enterprises,-3.623,-1.000,-0.008,-0.062,0.035,3.680,-0.068,-0.004,-0.072
Legal services,-4.745,-1.500,-0.004,-0.083,0.018,1.811,-0.012,-0.052,-0.064
Truck transportation,-7.196,-16.506,0.136,-0.268,0.019,1.822,-0.038,-0.020,-0.058
Primary metals,-15.718,-5.000,-0.055,-0.246,0.013,3.588,-0.049,-0.000,-0.049
Computer systems design and related services,-3.032,1.000,-0.018,-0.028,0.020,1.737,-0.032,-0.013,-0.045
