sector,label,delta_p_pct,delta_y_pct,supply_shock,demand_shock,va_share,domar_weight,leontief_multiplier,supply_contribution_gdp_pct,demand_contribution_gdp_pct,total_contribution_gdp_pct,bf_supply_contrib_pp,bf_demand_contrib_pp,bf_total_contrib_pp
FOODSVC,Food services and drinking places,-40.99008997381882,-37.2670334110663,0.26083276609392303,-0.7204595114970741,0.02080086472801441,0.04011143086738816,1.6634805512112,-0.3502898416875083,-0.4248966791104753,-0.7751865207979837,1.7403958105706367,-2.111075778523264,-0.37067996795262725
REALE,Real estate,1.0189208543786876,-5.2973708206686805,-0.11613662495716048,-0.12224506197293011,0.11963172326751957,0.164395458270697,3.7598467928403143,-0.5338772384780336,-0.09985636158563503,-0.6337336000636686,-7.178424956152002,-1.342652104967674,-8.521077061119676
RETAIL,Retail trade,-12.815922676112706,-8.196179651290175,0.10083862792349316,-0.21012102327402882,0.058590745267941606,0.09096670590897846,1.3343060773833673,-0.20021624019940948,-0.2800040339196196,-0.48022027411902907,1.2239533354239862,-1.7117086551358593,-0.48775531971187325
WHOLE,Wholesale trade,-2.5,-7.852117581499001,-0.0011737252716633347,-0.1231514697687375,0.060611962728785516,0.08617230224630357,4.166376513944443,-0.03133007598055038,-0.4446021822113085,-0.47593225819185886,-0.042139819012961224,-0.5980022360234001,-0.6401420550363612
ADMIN,Administrative and support services,-2.0,-16.2903722237115,-0.034301240745704994,-0.20100413581901666,0.028454501594364457,0.044972033061120985,3.634382700013126,-0.4152945180058651,-0.04823990440652421,-0.46353442241238935,-0.560638615210232,-0.06512282737131085,-0.6257614425815428
AMBULAT,Ambulatory health care services,-29.243477824692437,-12.5453372199961,0.16698140604696338,-0.6060682087468269,0.03492172106866385,0.0550528385142832,1.0421518334124662,-0.10278375776430276,-0.3353210093447278,-0.43810476710903057,0.9580293772287184,-3.125468310770454,-2.1674389335417357
ACCOMM,Accommodation,-80.0,-48.6923841194636,0.5565380794026821,-1.1246158941297573,0.008261011160939274,0.01349440977245558,1.2145964302903032,-0.17631989751596966,-0.22592843114766134,-0.402248328663631,0.9121804900159186,-1.1688272845901337,-0.2566467945742151
OTHSVC,"Other services, except government",-72.97199656573773,-17.175392163463098,0.6610183970035249,-0.9014738872920083,0.022268653598389147,0.036773006789396746,1.8217893515244494,-0.25877727826821123,-0.12369558023643606,-0.3824728585046473,4.428338878364205,-2.1167466893097684,2.311592189054436
CONST,Construction,-1.5,-9.13858322414812,-0.0306929161207406,-0.1292322903018515,0.04059067718436025,0.07498946312326,1.7097995515280338,-0.1254806262935011,-0.24546065528030528,-0.3709412815738064,-0.39353521044208084,-0.7698193217895102,-1.163354532231591
MOVIE,Motion picture and sound recording industries,-5.0,-53.834260361066896,-0.30889506907377934,-0.4088950690737793,0.006379342864812953,0.008545265657366383,1.2585191527899708,-0.21741856491629122,-0.12600863980056373,-0.3434272047168549,-0.33219751059951386,-0.19253073660887518,-0.524728247208389
