Sector,Output Chg (%),Price Chg (%),Supply Shock,Demand Shock,Domar Weight,Leontief Mult.,Supply → GDP (%),Demand → GDP (%),Total → GDP (%)
Food services and drinking places,-37.2670334110663,-40.99008997381882,0.26083276609392303,-0.7204595114970741,0.04011143086738816,1.6634805512112,-0.3502898416875083,-0.4248966791104753,-0.7751865207979837
Real estate,-5.2973708206686805,1.0189208543786876,-0.11613662495716048,-0.12224506197293011,0.164395458270697,3.7598467928403143,-0.5338772384780336,-0.09985636158563503,-0.6337336000636686
Retail trade,-8.196179651290175,-12.815922676112706,0.10083862792349316,-0.21012102327402882,0.09096670590897846,1.3343060773833673,-0.20021624019940948,-0.2800040339196196,-0.48022027411902907
Wholesale trade,-7.852117581499001,-2.5,-0.0011737252716633347,-0.1231514697687375,0.08617230224630357,4.166376513944443,-0.03133007598055038,-0.4446021822113085,-0.47593225819185886
Administrative and support services,-16.2903722237115,-2.0,-0.034301240745704994,-0.20100413581901666,0.044972033061120985,3.634382700013126,-0.4152945180058651,-0.04823990440652421,-0.46353442241238935
Ambulatory health care services,-12.5453372199961,-29.243477824692437,0.16698140604696338,-0.6060682087468269,0.0550528385142832,1.0421518334124662,-0.10278375776430276,-0.3353210093447278,-0.43810476710903057
Accommodation,-48.6923841194636,-80.0,0.5565380794026821,-1.1246158941297573,0.01349440977245558,1.2145964302903032,-0.17631989751596966,-0.22592843114766134,-0.402248328663631
"Other services, except government",-17.175392163463098,-72.97199656573773,0.6610183970035249,-0.9014738872920083,0.036773006789396746,1.8217893515244494,-0.25877727826821123,-0.12369558023643606,-0.3824728585046473
Construction,-9.13858322414812,-1.5,-0.0306929161207406,-0.1292322903018515,0.07498946312326,1.7097995515280338,-0.1254806262935011,-0.24546065528030528,-0.3709412815738064
Motion picture and sound recording industries,-53.834260361066896,-5.0,-0.30889506907377934,-0.4088950690737793,0.008545265657366383,1.2585191527899708,-0.21741856491629122,-0.12600863980056373,-0.3434272047168549
State and local general government,-4.0,0.0,-0.13333333333333333,-0.19999999999999998,0.11804722760662817,1.0,-0.13255737790315483,-0.19526240507876638,-0.32781978298192116
"Amusements, gambling, and recreation industries",-54.087644005652805,-51.402443311259674,0.2435862130843327,-0.8145113442551123,0.008184001311995008,1.0411475034677486,-0.06481150264495886,-0.18730346804124753,-0.2521149706862064
"Performing arts, spectator sports, museums",-44.435340892291094,-80.0,0.5037643940513927,-1.0468630049571728,0.009388160353910432,1.3440808021391266,-0.13498511128252913,-0.11560870755338498,-0.25059381883591414
"Motor vehicles, bodies, trailers, and parts",-25.126425334401496,3.444680857013569,-0.16007893524214317,-0.2168174447738793,0.03759267101314912,2.014611008116676,-0.16619971121544383,-0.061080597721435745,-0.22728030893687956
Rental and leasing services,-19.8037116033497,-2.0,-0.0790185580167485,-0.24004124003721886,0.019637733251411268,2.392661455868633,-0.1905940489311312,-0.035060820798056475,-0.22565486972918763
